,RunId,iteration,Step,avg_consumer_income,consumer_repairing,consumer_selling,consumer_recycling,consumer_landfilling,consumer_storing,consumer_buying_new,consumer_buying_used,avg_new_product_price,avg_used_product_price,new_price_to_income,used_price_to_income
100,0,0,100,5916.754,0,0,61,0,707,229,2,4849.875,3896,0.8196850840849561,0.658469153863757
101,0,0,101,5916.754,0,0,240,0,698,62,0,4853.0,3904,0.8202132453030834,0.6598212465821631
102,0,0,102,5916.754,0,0,63,0,695,238,2,4861.25,3902,0.8216075909189396,0.6594832234025616
103,0,0,103,5916.754,0,0,226,0,704,65,0,4864.125,3910,0.8220934992396168,0.6608353161209677
104,0,0,104,5916.754,0,0,49,0,716,230,1,4864.125,3911,0.8220934992396168,0.6610043277107684
105,0,0,105,5916.754,0,0,226,0,713,53,0,4865.5,3919,0.8223258901755929,0.6623564204291745
106,0,0,106,5916.754,0,0,49,0,714,232,2,4869.5,3917,0.8230019365347959,0.662018397249573
107,0,0,107,5916.754,0,0,226,0,718,52,0,4873.0,3915,0.8235934770990986,0.6616803740699715
108,0,0,108,6243.886,0,0,60,0,708,230,0,4873.0,3930,0.7804434610112997,0.6294157196335743
109,0,0,109,6243.886,0,0,226,0,710,62,0,4873.0,3937,0.7804434610112997,0.6305368163352117
110,0,0,110,6243.886,0,0,56,0,715,228,0,4873.0,3934,0.7804434610112997,0.6300563463202242
111,0,0,111,6243.886,0,0,238,0,705,57,0,4873.0,3938,0.7804434610112997,0.6306969730068742
112,0,0,112,6243.886,0,0,53,0,706,237,1,4893.625,3948,0.7837466923643385,0.632298539723499
113,0,0,113,6243.886,0,0,229,0,711,56,0,4896.875,3957,0.7842672015472415,0.6337399497684615
114,0,0,114,6243.886,0,0,58,0,705,232,1,4905.25,3955,0.7856085136724148,0.6334196364251364
115,0,0,115,6243.886,0,0,225,0,710,62,0,4908.25,3966,0.7860889836874023,0.6351813598134238
116,0,0,116,6243.886,0,0,63,0,706,227,1,4908.25,3980,0.7860889836874023,0.6374235532166986
117,0,0,117,6243.886,0,0,227,0,705,66,0,4909.625,3982,0.7863091991109382,0.6377438665600237
118,0,0,118,6243.886,0,0,58,0,709,228,1,4913.625,3981,0.7869498257975882,0.6375837098883611
119,0,0,119,6243.886,0,0,235,0,702,62,0,4917.125,3982,0.7875103741484069,0.6377438665600237
120,0,0,120,6570.009,0,0,45,0,714,236,0,4917.125,3983,0.7484198271265686,0.6062396565971219
