Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,EoL-repaired,EoL-sold,EoL-recycled,EoL-landfilled,EoL-stored,EoL-new repaired weight,EoL-new sold weight,EoL-new recycled weight,EoL-new landfilled weight,EoL-new stored weight,EoL-used repaired weight,EoL-used sold weight,EoL-used recycled weight,EoL-used landfilled weight,EoL-used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
2035,0.04644513338839637,0,147,853,0,0,0,1000,0,264298960240.7286,254430231570.53662,9868728670.193974,12005879784.388449,318737136.3015015,0,13599085702.14236,8045247716.341408,3079209853.5265856,0.0,0,727478789.6971756,632753660.3180776,107949006.60669573,0.0,0,0,12037694.860020828,37.13677384969593,0,0.005722259709965961,0.0021541540167582746,0.010248199388132139,0.019868487696892485,-0.10072247793784955,293544306.54986894,76546755.90422988,-15990346.125962969,62773237.97401171,39431464.95532712,-1242225761.5798626,-628399046.0140798
2036,0.045907476797893386,0,129,871,0,0,0,1000,0,276192413451.56696,263964962962.83057,12227450488.732748,12343531664.807549,391488992.6299254,0,16534806271.48973,9955028283.67668,3216510581.610862,0.0,0,871228255.4229589,765023916.411034,109431913.37383108,0.0,0,0,18207725.11778465,37.13677384969593,0,0.005719062531929358,0.0021541540167582746,0.009524737948543778,0.018988946358511293,-0.09677309308793874,359075876.2964538,93635246.33475594,-22743462.71828192,78616727.24117109,40389487.10838395,-1469593977.175034,-743446220.6814158
2037,0.04534975322749448,0,116,884,0,0,0,1000,0,288621072056.8847,273670060799.57468,14951011257.309217,12677187908.987442,474029573.0258093,0,19877515421.463882,12187292370.59226,3356264596.743371,0.0,0,1031758289.9410558,912443261.1199467,110814041.13346209,0.0,0,0,26640136.101164505,37.13677384969593,0,0.00571572671452235,0.0021541540167582746,0.008909141574862153,0.018231672170980498,-0.09297856583299623,434786335.87718904,113378058.37236232,-30654514.301958736,97526183.1546992,40344843.85831133,-1721223265.2155137,-870771813.1808736
2038,0.044774104139395074,0,103,897,0,0,0,1000,0,301609020299.4399,283542957919.2545,18066062380.189102,13006768689.11791,566520478.1088756,0,23660406944.678173,14769815798.333944,3498434931.603616,0.0,0,1209843214.7279694,1074566849.6434758,112096479.7839056,0.0,0,0,37854686.3957389,37.13677384969593,0,0.0057122663942597305,0.0021541540167582746,0.008347890395471628,0.017511698406274513,-0.08933282411987181,521312227.82971495,135941181.49517643,-39796951.3111449,121115856.73270632,39165189.49861833,-1993929259.095296,-1008620260.8802459
2039,0.04418254102879403,0,88,912,0,0,0,1000,0,315181426212.91693,293578034169.1952,21603392043.723217,13332138860.874302,669179779.2841145,0,27905787460.003387,17747672157.832188,3642940655.601988,0.0,0,1405645540.1500468,1251715559.190022,113279118.85691008,0.0,0,0,52413700.15703516,37.13677384969593,0,0.005708694857553347,0.0021541540167582746,0.007841574741915278,0.016845521872876582,-0.08583003398402475,619817060.3655397,161628020.5966727,-50305101.66015711,150669621.39255717,36608763.58553374,-2288951031.5099387,-1157865401.7001004
2040,0.04357695213626693,0,77,923,0,0,0,1000,0,329364590392.49786,303776164892.1605,25588425500.339634,13653079687.885113,782310310.5674431,0,32656112000.479263,21152574795.304554,3789794373.6970634,0.0,0,1620629695.3658988,1443199584.8550751,114364974.69665313,0.0,0,0,70913126.10167374,37.13677384969593,0,0.0057050245844523645,0.0021541540167582746,0.007377802843863516,0.016276753978914794,-0.08246459021393598,730960101.0195513,190610491.09112674,-62254744.66548267,185135292.00540587,32537825.562224768,-2607485837.69918,-1318904435.303151
2041,0.042959108838115594,0,65,935,0,0,0,1000,0,344185996960.16266,314128640949.5001,30057356010.662422,13969595951.796324,905992575.044509,0,37947821703.59449,25026550854.655537,3938870673.7005863,0.0,0,1855567518.2818756,1649290372.1910865,115352979.25751168,0.0,0,0,93972753.95257892,37.13677384969593,0,0.005701267290289397,0.0021541540167582746,0.006956326689389938,0.015727119342376174,-0.07923110738157373,855681413.0297555,223133730.7298368,-75754751.4055481,226974387.13118178,26752213.892009307,-2946830269.599192,-1490787508.9139662
2042,0.04233067172953547,0,51,949,0,0,0,1000,0,359674366823.3655,324627833254.379,35046533568.99113,14281406538.53938,1040594175.3592141,0,43813139461.60863,29413972020.527973,4090059696.2373605,0.0,0,2110854583.0841537,1870669198.0481272,116242931.7713253,0.0,0,0,122225645.07531407,37.13677384969593,0,0.005697433965328489,0.0021541540167582746,0.006571844075930391,0.0152400818255101,-0.07612441122455971,994930217.8893865,259445265.43758002,-90914955.5835598,275148787.46550363,19031067.237144023,-3307887934.7932057,-1673504073.4592342
2043,0.041693196414774494,0,39,961,0,0,0,1000,0,375859713330.4262,335270014746.29846,40589698584.123024,14588290136.775373,1186424132.2623544,0,50274408235.95164,34357437776.940403,4243307771.3601837,0.0,0,2386965098.14002,2107528945.6114728,117036516.47751345,0.0,0,0,156306783.52266183,37.13677384969593,0,0.005693534912507348,0.0021541540167582746,0.006216660581194923,0.014763270988732124,-0.07313953036624554,1149531672.9622796,299760269.27122784,-107830595.61947034,333009955.7438231,9196361.487612145,-3647021381.5294013,-1845952001.0793877
2044,0.04104813901781897,0,25,975,0,0,0,1000,0,392773400430.2965,346060015623.5514,46713384806.73904,14890159899.867825,1343658239.871835,0,57333828150.21853,39895874681.263374,4398684454.194784,0.0,0,2683016240.1931443,2360431147.2127905,117738835.15526927,0.0,0,0,196841400.37826476,37.13677384969593,0,0.005689579783361544,0.0021541540167582746,0.005891159357161843,0.014337325670502273,-0.07027168836044938,1320131776.6823115,344247197.4974274,-126575596.43359512,400505245.77659684,-2915921.242408486,-3960794862.6633143,-2004360048.5954266
2045,0.04039686142653156,0,8,992,0,0,0,1000,0,410448203449.6473,357019463725.87164,53428739723.78181,15187177098.969852,1512225430.06138,0,64968219166.393166,46057402027.3285,4556501186.978041,0.0,0,2996938363.47266,2629548956.365926,118360982.56458487,0.0,0,0,244433608.3102901,37.13677384969593,0,0.005685577612214954,0.0021541540167582746,0.005600076708972038,0.013959073562294273,-0.067516296048123,1506988504.5919335,392973321.70154655,-147177868.560668,477177909.72386605,-17411917.23899156,-4092740697.395826,-2070767194.202671
2046,0.03974063628258418,0,0,1000,0,0,0,1000,0,428918372604.8779,368193167233.78156,60725205371.106255,15479942646.789103,1691616266.418589,0,73192219867.83865,52786129873.965576,4717403210.337664,0.0,0,3329162180.1806498,2910528005.6799088,118921447.46717645,0.0,0,0,299656092.1532876,37.13677384969593,0,0.005681536848716124,0.0021541540167582746,0.005365868185111406,0.013686850666560663,-0.0648689442137183,1707808741.1423638,445340672.336038,-169369929.10009387,560244206.747299,-33965712.39980759,-4092740697.395826,-2070767194.202671
2047,0.039080651728970954,0,0,1000,0,0,0,1000,0,448219699372.1138,379611543695.2707,68608155676.8368,15769610027.766155,1880770032.039209,0,82001421191.24843,59993658229.48269,4881828538.868585,0.0,0,3679245445.9143376,3197656807.6100955,119431732.26060182,0.0,0,0,363041413.5877665,37.13677384969593,0,0.00567746538879773,0.0021541540167582746,0.00518530852894509,0.01345531819239467,-0.062325396529501746,1919424527.5529485,500523149.34688276,-192784826.8055696,645494110.627576,-52076420.708747685,-4092740697.395826,-2070767194.202671
2048,0.03841801592635455,0,0,1000,0,0,0,1000,0,468389585843.8578,391312807104.99567,77076778738.85643,16056871890.613457,2079088155.2149768,0,91316811797.80878,67615341453.03212,5050327456.495817,0.0,0,4043296981.928653,3486545325.2908697,119904808.99447829,0.0,0,0,435074898.8330954,37.13677384969593,0,0.005673370604131852,0.0021541540167582746,0.005039661606550467,0.013224277887130344,-0.05988158277652612,2139483752.3953476,557907398.9903808,-217148844.07340756,732610203.4034266,-71359288.64547263,-4092740697.395826,-2070767194.202671
2049,0.03775376134899024,0,0,1000,0,0,0,1000,0,489467117206.8342,403386300413.3815,86080816793.44493,16342550377.20285,2285843899.030018,0,101035431989.1028,75566939791.36362,5224186507.380164,0.0,0,4416667087.21998,3771841073.6298304,120369159.77139688,0.0,0,0,516188777.355484,37.13677384969593,0,0.005669259370151063,0.0021541540167582746,0.004928324951346037,0.01305169358562315,-0.05753359233141196,2365175798.222903,616760504.1469377,-242131353.45198807,820945091.3403989,-91339564.92370382,-4092740697.395826,-2070767194.202671
2050,0.037088848870486295,0,0,1000,0,0,0,1000,0,511493137481.1391,415956449078.6846,95536688402.44907,16628604948.104733,2499174554.5662313,0,111037906359.37852,83750782457.95284,5405197426.041354,0.0,0,4794298117.494752,4047549713.5725975,120861223.77293067,0.0,0,0,606757355.9946289,37.13677384969593,0,0.005665138092701891,0.0021541540167582746,0.004849919150612363,0.012935731416362494,-0.0552776679085157,2593443456.9959097,676285244.9340968,-267370517.21452484,909851873.9357775,-111492428.2437677,-4092740697.395826,-2070767194.202671
